Curs;Estudis;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Districte;Naturalesa;Titularitat;Nivell;Sexe;Edat;Zona nacionalitat (agrupació);Necessitats específiques de suport educatiu;Alumnes matriculats
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;RESTA UNIÓ EUROPEA;NO;15
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;RESTA UNIÓ EUROPEA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;ÀSIA I OCEANIA;NO;22
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;CENTRE I SUDAMÈRICA;NO;7
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;ESPANYA;NO;91
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;ESPANYA;SI;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;MAGREB;NO;9
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;RESTA D'EUROPA;NO;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;RESTA D'ÀFRICA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;RESTA UNIÓ EUROPEA;NO;10
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;RESTA UNIÓ EUROPEA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;ÀSIA I OCEANIA;NO;17
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;2;ÀSIA I OCEANIA;SI;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;3;CENTRE I SUDAMÈRICA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;HOME;3;ÀSIA I OCEANIA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;EIXAMPLE;PRIVAT;ASSOCIACIONS;I0;DONA;0;ESPANYA;NO;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;EIXAMPLE;PRIVAT;ASSOCIACIONS;I0;HOME;0;ESPANYA;NO;4
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;EIXAMPLE;PRIVAT;ASSOCIACIONS;I1;DONA;1;ESPANYA;NO;7
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;EIXAMPLE;PRIVAT;ASSOCIACIONS;I1;DONA;2;ESPANYA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;EIXAMPLE;PRIVAT;ASSOCIACIONS;I1;HOME;1;ESPANYA;NO;5
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801902;EIXAMPLE;PRIVAT;ASSOCIACIONS;I2;DONA;2;ESPANYA;NO;9
